Trial,Seed,MUTATION_RATE,PHASE2_MUTATION_RATE,CROSSOVER_RATE,POPULATION_SIZE,TOURNAMENT_SIZE,phase1MaxDepth,phase2MaxDepth,BestFitness,AverageFitness,FitnessVariance
1,1232,0.06817627104829091,0.03614018657157861,0.9992733286113493,200,3,4,5,117.0,78.74333333333331,324.68856666666665
1,1232,0.06817627104829091,0.03614018657157861,0.9992733286113493,200,3,4,5,117.0,78.74333333333331,324.68856666666665
2,1232,0.08423480712099211,0.030322862214097232,0.9694376278266112,200,3,3,8,104.5,71.94833333333332,268.73121944444466
1,1232,0.06817627104829091,0.03614018657157861,0.9992733286113493,200,3,4,5,117.0,78.74333333333331,324.68856666666665
2,1232,0.08423480712099211,0.030322862214097232,0.9694376278266112,200,3,3,8,104.5,71.94833333333332,268.73121944444466
3,1232,0.08905229395266276,0.0826029986804543,0.7861265509622178,200,6,4,6,221.0,77.06166666666665,610.874808333333
1,1232,0.06817627104829091,0.03614018657157861,0.9992733286113493,200,3,4,5,117.0,78.74333333333331,324.68856666666665
2,1232,0.08423480712099211,0.030322862214097232,0.9694376278266112,200,3,3,8,104.5,71.94833333333332,268.73121944444466
3,1232,0.08905229395266276,0.0826029986804543,0.7861265509622178,200,6,4,6,221.0,77.06166666666665,610.874808333333
4,1232,0.030274109441653756,0.029079728609072306,0.639152873093759,200,5,3,8,201.0,100.57916666666667,6816.216024305546
1,1232,0.06817627104829091,0.03614018657157861,0.9992733286113493,200,3,4,5,117.0,78.74333333333331,324.68856666666665
2,1232,0.08423480712099211,0.030322862214097232,0.9694376278266112,200,3,3,8,104.5,71.94833333333332,268.73121944444466
3,1232,0.08905229395266276,0.0826029986804543,0.7861265509622178,200,6,4,6,221.0,77.06166666666665,610.874808333333
4,1232,0.030274109441653756,0.029079728609072306,0.639152873093759,200,5,3,8,201.0,100.57916666666667,6816.216024305546
5,1232,0.04236017457241149,0.03337890150451813,0.782473574684285,200,9,2,6,109.5,70.56833333333334,340.0639416666664
1,1232,0.06817627104829091,0.03614018657157861,0.9992733286113493,200,3,4,5,117.0,78.74333333333331,324.68856666666665
2,1232,0.08423480712099211,0.030322862214097232,0.9694376278266112,200,3,3,8,104.5,71.94833333333332,268.73121944444466
3,1232,0.08905229395266276,0.0826029986804543,0.7861265509622178,200,6,4,6,221.0,77.06166666666665,610.874808333333
4,1232,0.030274109441653756,0.029079728609072306,0.639152873093759,200,5,3,8,201.0,100.57916666666667,6816.216024305546
5,1232,0.04236017457241149,0.03337890150451813,0.782473574684285,200,9,2,6,109.5,70.56833333333334,340.0639416666664
6,1232,0.0444815984861056,0.02076298149860272,0.9301687588830853,200,5,2,8,236.0,127.4641666666667,4668.8139243055575
1,1232,0.06817627104829091,0.03614018657157861,0.9992733286113493,200,3,4,5,117.0,78.74333333333331,324.68856666666665
2,1232,0.08423480712099211,0.030322862214097232,0.9694376278266112,200,3,3,8,104.5,71.94833333333332,268.73121944444466
3,1232,0.08905229395266276,0.0826029986804543,0.7861265509622178,200,6,4,6,221.0,77.06166666666665,610.874808333333
4,1232,0.030274109441653756,0.029079728609072306,0.639152873093759,200,5,3,8,201.0,100.57916666666667,6816.216024305546
5,1232,0.04236017457241149,0.03337890150451813,0.782473574684285,200,9,2,6,109.5,70.56833333333334,340.0639416666664
6,1232,0.0444815984861056,0.02076298149860272,0.9301687588830853,200,5,2,8,236.0,127.4641666666667,4668.8139243055575
7,1232,0.04612215318606825,0.013172953413610947,0.6255565988225785,200,9,2,5,109.5,73.48750000000001,304.796579861111
1,1232,0.06817627104829091,0.03614018657157861,0.9992733286113493,200,3,4,5,117.0,78.74333333333331,324.68856666666665
2,1232,0.08423480712099211,0.030322862214097232,0.9694376278266112,200,3,3,8,104.5,71.94833333333332,268.73121944444466
3,1232,0.08905229395266276,0.0826029986804543,0.7861265509622178,200,6,4,6,221.0,77.06166666666665,610.874808333333
4,1232,0.030274109441653756,0.029079728609072306,0.639152873093759,200,5,3,8,201.0,100.57916666666667,6816.216024305546
5,1232,0.04236017457241149,0.03337890150451813,0.782473574684285,200,9,2,6,109.5,70.56833333333334,340.0639416666664
6,1232,0.0444815984861056,0.02076298149860272,0.9301687588830853,200,5,2,8,236.0,127.4641666666667,4668.8139243055575
7,1232,0.04612215318606825,0.013172953413610947,0.6255565988225785,200,9,2,5,109.5,73.48750000000001,304.796579861111
8,1232,0.020937496158992756,0.07018215067292105,0.9984580694446751,200,9,3,7,102.0,69.36499999999995,590.9410805555557
1,1232,0.06817627104829091,0.03614018657157861,0.9992733286113493,200,3,4,5,117.0,78.74333333333331,324.68856666666665
2,1232,0.08423480712099211,0.030322862214097232,0.9694376278266112,200,3,3,8,104.5,71.94833333333332,268.73121944444466
3,1232,0.08905229395266276,0.0826029986804543,0.7861265509622178,200,6,4,6,221.0,77.06166666666665,610.874808333333
4,1232,0.030274109441653756,0.029079728609072306,0.639152873093759,200,5,3,8,201.0,100.57916666666667,6816.216024305546
5,1232,0.04236017457241149,0.03337890150451813,0.782473574684285,200,9,2,6,109.5,70.56833333333334,340.0639416666664
6,1232,0.0444815984861056,0.02076298149860272,0.9301687588830853,200,5,2,8,236.0,127.4641666666667,4668.8139243055575
7,1232,0.04612215318606825,0.013172953413610947,0.6255565988225785,200,9,2,5,109.5,73.48750000000001,304.796579861111
8,1232,0.020937496158992756,0.07018215067292105,0.9984580694446751,200,9,3,7,102.0,69.36499999999995,590.9410805555557
9,1232,0.02416697236229695,0.05458220238151495,0.6049091715655368,200,7,3,7,196.0,83.06166666666667,1642.8027250000025
1,1232,0.06817627104829091,0.03614018657157861,0.9992733286113493,200,3,4,5,117.0,78.74333333333331,324.68856666666665
2,1232,0.08423480712099211,0.030322862214097232,0.9694376278266112,200,3,3,8,104.5,71.94833333333332,268.73121944444466
3,1232,0.08905229395266276,0.0826029986804543,0.7861265509622178,200,6,4,6,221.0,77.06166666666665,610.874808333333
4,1232,0.030274109441653756,0.029079728609072306,0.639152873093759,200,5,3,8,201.0,100.57916666666667,6816.216024305546
5,1232,0.04236017457241149,0.03337890150451813,0.782473574684285,200,9,2,6,109.5,70.56833333333334,340.0639416666664
6,1232,0.0444815984861056,0.02076298149860272,0.9301687588830853,200,5,2,8,236.0,127.4641666666667,4668.8139243055575
7,1232,0.04612215318606825,0.013172953413610947,0.6255565988225785,200,9,2,5,109.5,73.48750000000001,304.796579861111
8,1232,0.020937496158992756,0.07018215067292105,0.9984580694446751,200,9,3,7,102.0,69.36499999999995,590.9410805555557
9,1232,0.02416697236229695,0.05458220238151495,0.6049091715655368,200,7,3,7,196.0,83.06166666666667,1642.8027250000025
10,1232,0.031234277799882866,0.09008673972813364,0.8573681736144374,200,7,2,7,97.0,69.45750000000002,164.67604097222218
1,1232,0.06817627104829091,0.03614018657157861,0.9992733286113493,200,3,4,5,117.0,78.74333333333331,324.68856666666665
2,1232,0.08423480712099211,0.030322862214097232,0.9694376278266112,200,3,3,8,104.5,71.94833333333332,268.73121944444466
3,1232,0.08905229395266276,0.0826029986804543,0.7861265509622178,200,6,4,6,221.0,77.06166666666665,610.874808333333
4,1232,0.030274109441653756,0.029079728609072306,0.639152873093759,200,5,3,8,201.0,100.57916666666667,6816.216024305546
5,1232,0.04236017457241149,0.03337890150451813,0.782473574684285,200,9,2,6,109.5,70.56833333333334,340.0639416666664
6,1232,0.0444815984861056,0.02076298149860272,0.9301687588830853,200,5,2,8,236.0,127.4641666666667,4668.8139243055575
7,1232,0.04612215318606825,0.013172953413610947,0.6255565988225785,200,9,2,5,109.5,73.48750000000001,304.796579861111
8,1232,0.020937496158992756,0.07018215067292105,0.9984580694446751,200,9,3,7,102.0,69.36499999999995,590.9410805555557
9,1232,0.02416697236229695,0.05458220238151495,0.6049091715655368,200,7,3,7,196.0,83.06166666666667,1642.8027250000025
