Trial,MUTATION_RATE,PHASE2_MUTATION_RATE,CROSSOVER_RATE,POPULATION_SIZE,TOURNAMENT_SIZE,phase1MaxDepth,phase2MaxDepth,BestFitness,AverageFitness,FitnessVariance
1,0.08234208775073795,0.012253410878383188,0.6862919013016537,200,4,3,6,114.5,114.5,0.0
2,0.06633554066622278,0.09142250849247707,0.8653407867188403,200,4,5,5,112.0,95.81083333333332,362.5237298611111
3,0.04432621867996348,0.04283344924500344,0.8288049992680913,200,3,5,8,122.0,118.115,436.4892750000001
4,0.010174535017620247,0.09605820198388272,0.8802563852653515,200,9,5,8,92.0,90.705,86.900475
5,0.01648179338502232,0.08688041374159738,0.9684966163870377,200,5,5,8,82.0,72.775,8.086875000000026
6,0.03951261986384054,0.023032169186647147,0.7074689500552167,200,7,2,8,102.0,100.875,64.546875
7,0.024648365462884445,0.0877250002381916,0.708216967683531,200,3,3,5,121.0,101.00999999999998,824.9499
8,0.08659295453235909,0.032258599110638574,0.8835630693139924,200,3,3,7,97.0,93.8075,52.78856875000001
9,0.018715826202928332,0.036887219162806247,0.7510965858517538,200,6,4,7,107.0,104.56,232.0264
10,0.09956958000832132,0.023399157627125942,0.9846756900646942,200,6,3,6,139.5,138.00166666666667,87.455275
